Account Number,Post Date,Check,Description,Debit,Credit,Status,Balance,Classification
"******4609",8/9/2024,,"Regular Deposit",,1000.00,Posted,,"Rental Income"
"******4609",8/8/2024,,"Waste Management",165.00,,Posted,,"Utilities"
"******4609",8/8/2024,,"Waste Management",26.85,,Posted,,"Utilities"
"******4609",8/8/2024,,"Georgia Power",17.80,,Posted,,"Utilities"
"******4609",8/8/2024,,"Racetrac",41.02,,Posted,,"Gas"
"******4609",8/7/2024,,"Windstream",109.27,,Posted,,"Utilities"
"******4609",8/7/2024,,"Club Corners Car",112.08,,Posted,,"Uncategorized"
"******4609",8/7/2024,,"Racetrac",49.54,,Posted,,"Gas"
"******4609",8/7/2024,,"Chick-fil-A",11.50,,Posted,,"Gift"
"******4609",8/7/2024,,"Meta Pay",,700.00,Posted,,"Rental Income"
"******4609",8/7/2024,,"Meta Pay",,400.00,Posted,,"Rental Income"
"******4609",8/7/2024,,"Regular Deposit",,550.00,Posted,,"Rental Income"
"******4609",8/6/2024,,"Georgia Power",204.54,,Posted,,"Utilities"
"******4609",8/6/2024,,"Transfer from Cash App",,950.00,Posted,,"Transfer"
"******4609",8/6/2024,,"Transfer from Cash App",,800.00,Posted,,"Transfer"
"******4609",8/5/2024,,"The Home Depot",1500.00,,Posted,,"Home Improvement"
"******4609",8/5/2024,,"Transfer To 8694",460.00,,Posted,,"Transfer"
"******4609",8/5/2024,,"Regular Deposit",,6350.00,Posted,,"Rental Income"
"******4609",8/5/2024,,"Regular Deposit",,900.00,Posted,,"Rental Income"
"******4609",8/2/2024,,"Shell",99.00,,Posted,,"Gas"
"******4609",8/1/2024,897,"Check #897",100.00,,Posted,,"Check"
"******4609",8/1/2024,,"Chevron",49.92,,Posted,,"Gas"
"******4609",7/31/2024,,"Habersham Emc Web",32.10,,Posted,,"Utilities"
